#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_name,total_subscribers,total_views,total_videos
85,Jeff Nippard @UC68TLK0mAEzUyHx5x5k-S1Q,3.2M,1.20%,Canada,Art Fitness,969K,Jeff Nippard,3200000,"623,216,605",497
86,Steve Terreberry @UCl16xaNY2arX3OzZBvTlsPQ,3.2M,-,Canada,,966K,Steve Terreberry,3200000,"723,589,498 ",409
87,FaZe Pamaj @UCPtLtJEoVSzd-zMlZaluxEA,3.2M,-,Canada,,963K,FaZe Pamaj,3200000,"651,148,811",2562
88,Troydan @UCSEQjmaQ-N3lcPzyvBcFWfg,3.1M,0.60%,Canada,,939K,Troydan,3100000,"1,186,796,338",1613
89,Graser @UC24-XPATP4CeviFJ8SLiF8A,3.1M,-,Canada,,924K,Graser,3100000,"649,156,907",3367
90,Step News Agency @UCFXyHQjlNrdVYKywetpIj-A,3.1M,-,Canada,,921K,Step News Agency,3100000,"2,003,572,488",12314
91,SpyCakes @UC1rsLSbsz0Y2blrWDZ_-8Qw,3M,-,Canada,,912K,SpyCakes,3000000,"3,863,929,660",2888
92,Adamâ€™s English Lessons Â· engVid @UC_0NfufarVw04vDfWFm8z_Q,3M,0.10%,Canada,,909K,Adam’s English Lessons · engVid,3000000,"152,492,961",221
93,Gold Coast Music @UC0aXGG4J16PmxgZo10Nzk6A,3M,-,Canada,Music,906K,Gold Coast Music,3000000,"2,116,565,839",1461
94,Jessii Vee @UCghooJjCGtg2Kw2PSB9B0NA,3M,0.20%,Canada,,885K,Jessii Vee,3000000,"1,012,644,919",1545
95,Kings and Generals @UCMmaBzfCCwZ2KqaBJjkj0fw,3M,-,Canada,,885K,Kings and Generals,3000000,"768,787,030",1224
96,YouAlwaysWin @UCj4I9NfO3xIvl-Ym2Qzib1Q,2.9M,-,Canada,,882K,YouAlwaysWin,2900000,"1,658,193,192",10903
97,TheSmithPlays @UCr6n2gOy_WwuXFm-YjC28GQ,2.9M,-,Canada,,879K,TheSmithPlays,2900000,"873,022,098",2283
98,Super Simple EspaÃ±ol - Canciones Infantiles Y MÃ¡s @UCyY3Wd5x85o8AKXjYSoxFAQ,2.9M,-,Canada,,867K,Super Simple Español - Canciones Infantiles Y Más,2900000,"2,289,628,343",333
99,Orange Juice Gaming @UC3S6nIDGJ5OtpC-mbvFA8Ew,2.8M,0.20%,Canada,Video Gaming,843K,Orange Juice Gaming,2800000,"1,731,138,539",2660
100,ItsYeBoi @UCF2PQrk3QVky8eFexifcjDA,2.8M,0.10%,Canada,,840K,ItsYeBoi,2800000,"395,417,541",580
